Name,Rating
love-chix-toronto,4.0
rush-hour-toronto,4.5
the-sovereign-toronto,4.5
balzacs-coffee-roasters-toronto-17,4.0
century-park-tavern-toronto,3.5
241-pizza-toronto-12,3.5
earlscourt-park-toronto,3.5
the-morning-star-restaurant-toronto,2.5
o-sushi-toronto,4.0
jaclyns-toronto,4.5
the-burgers-priest-toronto,3.5
burrito-bandidos-toronto-7,3.5
casa-di-giorgios-toronto,4.0
butter-chicken-roti-toronto-6,2.5
mcdonalds-toronto-12,2.5
dulcinella-toronto-2,5.0
british-style-fish-and-chips-toronto,4.0
chick-n-joy-toronto,4.0
simple-coffee-toronto,4.5
pachira-asian-cuisine-toronto,1.0
harveys-toronto-21,2.0
pizza-nova-toronto-12,2.5
rice-rice-baby-toronto-4,5.0
maestro-omar-s-gourmet-pizza-toronto,4.0
woodbine-park-toronto,4.0
southern-smoke-truck-toronto,3.0
ashbridge-estate-toronto,5.0
jonathan-ashbridge-park-toronto,2.0
ashbridges-bay-skate-park-toronto,3.5
measurement-park-toronto,3.0
the-carbon-bar-toronto,4.0
richmond-station-toronto,4.5
george-restaurant-toronto-3,4.5
cafe-oro-di-napoli-toronto,4.5
beerbistro-toronto-3,4.0
terroni-toronto-8,3.5
gyu-kaku-japanese-bbq-toronto,4.0
hendriks-restaurant-and-bar-toronto,4.0
blaze-pizza-toronto-7,4.5
cactus-club-cafe-toronto,4.0
pearl-diver-toronto-2,4.0
hokkaido-ramen-santouka-toronto-2,4.0
la-bettola-di-terroni-toronto,3.5
leña-restaurante-toronto-3,3.5
the-senator-toronto,4.0
craft-beer-market-toronto,3.5
hys-steakhouse-and-cocktail-bar-toronto-2,4.0
carisma-toronto,4.0
haidilao-hot-pot-toronto-2,5.0
trattoria-mercatto-toronto,3.5
the-chase-toronto-11,3.5
barberians-steak-house-toronto,4.0
the-poke-box-toronto-8,4.5
eggspectation-toronto-3,4.0
gyukatsu-kyoto-katsugyu-toronto-3,4.0
egg-club-toronto,4.5
joey-eaton-centre-toronto,3.5
aaa-bar-toronto,3.5
nami-restaurant-toronto,3.5
mcveighs-new-windsor-tavern-toronto,3.5
versus-coffee-toronto,4.5
frans-restaurant-toronto-2,3.0
j-san-sushi-bar-toronto,4.5
moon-palace-toronto-2,4.0
portico-restaurant-and-lounge-toronto,4.0
sansotei-ramen-toronto-12,4.0
fahrenheit-coffee-toronto,4.5
sud-forno-toronto-3,3.5
john-and-sons-oyster-house-toronto-2,4.0
p-j-o-brien-irish-pub-and-restaurant-toronto,4.0
b-espresso-bar-toronto,4.0
mystic-muffin-toronto,4.5
osteria-ciceri-e-tria-toronto,3.5
paramount-middle-eastern-kitchen-toronto,3.0
the-3-brewers-toronto-3,3.0
the-rabbit-hole-toronto,4.0
dineen-coffee-toronto,4.0
salad-king-restaurant-toronto-2,3.5
the-corner-place-toronto,3.5
firkin-on-yonge-toronto,3.0
kintaro-izakaya-toronto-3,4.0
hair-of-the-dog-toronto,4.0
si-lom-thai-bistro-toronto,4.0
kawa-sushi-toronto,3.5
the-churchmouse-a-firkin-pub-toronto-2,3.5
afuri-toronto,4.0
kinka-izakaya-original-toronto-4,4.0
the-keg-steakhouse-bar-toronto-21,4.0
sambucas-on-church-toronto,3.5
storm-crow-manor-toronto-3,4.0
katsuya-toronto-5,4.5
kinton-ramen-toronto-16,4.0
fushimi-toronto,3.5
gurume-sushi-toronto-2,5.0
w-burger-bar-toronto,3.5
indian-roti-house-toronto-2,3.5
north-of-brooklyn-pizzeria-toronto-2,3.0
o-gradys-restaurant-toronto,3.0
torch-pressed-sushi-toronto-2,4.5
mabu-generation-toronto,4.0
loaded-pierogi-toronto-5,4.0
darvish-restaurant-toronto,4.0
soy-boys-toronto,4.5
craigs-cookies-toronto-2,4.0
the-blake-house-toronto,4.0
egg-club-wellesley-toronto,4.5
pizza-studio-toronto,3.5
sushi-and-bbbop-toronto,4.5
mr-tonkatsu-toronto-5,4.0
the-cherie-bistro-toronto,4.0
woodys-toronto,3.5
burrito-bandidos-toronto-5,4.0
fabarnak-community-cafe-and-catering-toronto,4.0
four-four-south-village-toronto,3.5
pegasus-on-church-toronto-2,4.0
t-swirl-crêpe-toronto-2,4.0
lao-lao-bar-toronto,4.5
the-captains-boil-toronto-2,3.5
bloom-toronto-3,4.5
ginger-toronto,3.5
cabanos-comfort-food-toronto,4.5
ramen-raijin-toronto-5,3.5
koyoi-restaurant-and-bar-toronto,4.0
church-street-garage-toronto,3.0
crews-and-tangos-toronto,2.5
chung-chun-rice-hotdog-toronto-2,4.5
ethiopian-house-restaurant-toronto,3.5
black-eagle-toronto,3.5
baroness-toronto-5,4.5
the-alley-toronto-4,4.5
dzo-viet-eatery-toronto,4.0
koh-lipe-toronto-2,4.0
sansotei-ramen-toronto-2,4.0
mogouyan-hand-pulled-noodles-toronto,4.5
the-queen-and-beaver-public-house-toronto,4.0
omai-restaurant-toronto,4.0
adega-restaurante-toronto,4.0
gyubee-japanese-grill-dundas-toronto,4.5
the-poké-box-toronto-5,4.5
1915-lan-zhou-ramen-toronto-8,4.0
manpuku-japanese-eatery-toronto,4.0
midi-bistro-toronto,3.5
light-cafe-toronto,4.0
yuugi-izakaya-toronto,4.5
kinton-ramen-toronto-12,3.5
the-host-fine-indian-cuisine-toronto-2,3.5
kimchi-korea-house-toronto,3.5
konjiki-ramen-downtown-toronto,4.0
rolltation-toronto-5,4.0
donatello-restaurant-toronto,4.0
prenup-pub-toronto,3.5
w-burger-bar-toronto,3.5
charidise-toronto,3.5
poke-guys-toronto,4.0
dondon-izakaya-toronto-3,3.0
mercatto-toronto-2,3.5
japango-toronto,3.5
kaka-all-you-can-eat-toronto,3.5
soya-mandarin-kitchen-toronto,4.0
café-la-gaffe-toronto-2,3.5
gb-hand-pulled-noodles-toronto,4.0
karines-toronto,4.0
valens-restaurant-toronto,3.5
bapbo-korean-restaurant-toronto-2,3.0
starbucks-toronto-154,4.5
tosto-quickfire-pizza-pasta-toronto,3.5
hong-shing-chinese-restaurant-toronto,3.5
art-gallery-of-ontario-toronto-3,4.5
hana-don-toronto-5,4.5
butter-and-blue-toronto,4.5
mysteriously-yours-dinner-theatre-toronto,4.0
kenzo-ramen-toronto,3.0
yueh-tung-restaurant-toronto,3.5
jimmys-coffee-toronto-5,4.0
patchmons-thai-desserts-and-more-toronto,4.5
bb-q-chicken-toronto-7,4.0
arctic-bites-toronto,4.0
village-genius-pub-and-grill-toronto,3.0
gyugyuya-toronto,3.5
artisan-plus-toronto,4.0
konjiki-ramen-downtown-toronto,4.0
the-queen-and-beaver-public-house-toronto,4.0
adega-restaurante-toronto,4.0
moon-palace-toronto-2,4.0
joey-eaton-centre-toronto,3.5
mogouyan-hand-pulled-noodles-toronto,4.5
barberians-steak-house-toronto,4.0
salad-king-restaurant-toronto-2,3.5
donatello-restaurant-toronto,4.0
congee-queen-toronto-7,4.0
hazukido-toronto,3.5
blaze-pizza-toronto-7,4.5
gb-hand-pulled-noodles-toronto,4.0
shitamachi-tendon-akimitsu-toronto-2,3.5
bb-q-chicken-toronto-7,4.0
red-lobster-toronto,3.0
st-louis-bar-and-grill-toronto-9,3.0
you-don-ya-toronto,3.5
bangkok-garden-restaurant-toronto,3.0
kinka-izakaya-original-toronto-4,4.0
chipotle-mexican-grill-toronto,3.5
dondon-izakaya-toronto-3,3.0
elm-street-italian-deli-toronto-2,4.5
basil-box-toronto-4,4.0
sansotei-ramen-toronto-2,4.0
daldongnae-korean-bbq-dundas-square-toronto-5,4.5
banh-mi-boys-toronto-2,4.0
thai-on-yonge-toronto-3,4.0
hana-don-toronto-5,4.5
uncle-tetsus-japanese-cheesecake-toronto,3.5
artisan-plus-toronto,4.0
katsuya-toronto-5,4.5
dagu-rice-noodle-downtown-toronto,3.0
hendriks-restaurant-and-bar-toronto,4.0
gyubee-japanese-grill-dundas-toronto,4.5
rolltation-toronto-12,4.0
kaka-all-you-can-eat-toronto,3.5
mysteriously-yours-dinner-theatre-toronto,4.0
the-senator-toronto,4.0
eggspectation-toronto-3,4.0
bapbo-korean-restaurant-toronto-2,3.0
hokkaido-ramen-santouka-toronto-2,4.0
spring-sushi-toronto,3.0
jollibee-toronto-13,3.5
kinton-ramen-toronto-16,4.0
jack-astors-toronto-6,3.0
kimchi-korea-house-toronto,3.5
poke-guys-toronto,4.0
sushi-and-bbbop-toronto,4.5
urban-eatery-at-the-eaton-centre-toronto,3.5
korean-village-restaurant-toronto,4.0
daldongnae-korean-bbq-christie-toronto-5,4.5
yummy-korean-food-restaurant-toronto,4.0
mama-chef-korean-restaurant-toronto-2,4.0
ninetails-coffee-bar-toronto,4.5
sunrise-house-toronto,4.0
hancook-cheese-dakgalbi-toronto-2,4.0
her-chef-toronto-2,4.5
kinton-ramen-toronto-13,3.5
hodo-kwaja-toronto,4.5
rustle-and-still-café-toronto,4.5
buk-chang-dong-soon-tofu-toronto-2,4.0
paldo-gangsan-toronto,4.5
kinka-izakaya-annex-toronto-2,4.0
barrio-coreano-toronto,3.5
tacos-el-asador-toronto,4.0
ave-maria-latin-café-toronto,4.5
jin-dal-lae-toronto,4.5
arisu-korean-bbq-and-sushi-toronto-5,3.5
insomnia-restaurant-and-lounge-toronto,4.0
snakes-and-lattes-annex-toronto,4.0
kintori-yakitori-izakaya-toronto,3.5
korea-house-toronto,3.5
mapo-korean-bbq-toronto-2,4.0
imonay-house-restaurant-toronto,4.0
poop-cafe-toronto,3.0
doo-roo-ae-toronto,3.5
mr-tonkatsu-toronto,4.0
real-fruit-bubble-tea-toronto,4.0
pour-boy-toronto-5,3.5
coco-fresh-tea-and-juice-toronto-12,4.5
kimchi-house-toronto-4,4.0
dessert-fox-toronto,4.5
the-alley-toronto-10,3.5
chung-chun-rice-dog-toronto,4.5
mallo-toronto,5.0
k-seoul-hotdog-toronto,4.5
kung-fu-tea-toronto-9,4.5
kevins-taiyaki-toronto,4.5
jjin-toast-toronto,5.0
kimsoonrye-soonsal-chicken-toronto,4.0
mary-browns-toronto-3,5.0
damda-restaurant-toronto,4.5
paupers-pub-toronto,3.0
new-generation-grill-fusion-toronto,4.0
yupdduk-bloor-toronto,4.0
kfc-toronto-52,2.5
evas-original-chimneys-toronto,4.0
pho-88-toronto-5,3.0
crafty-coyote-toronto,3.5
black-camel-toronto-2,4.5
mineral-toronto,4.5
trattoria-nervosa-toronto,4.0
happy-burger-toronto-2,4.5
café-boulud-toronto,3.5
robot-boil-house-toronto-2,4.0
portici-toronto,4.0
coffee-lunar-toronto,4.5
the-rebel-house-toronto,3.5
lee-chen-bistro-toronto,3.5
grandma-loves-you-toronto,5.0
utsav-toronto,4.0
kiro-sushi-toronto,4.0
bhoj-indian-cuisine-toronto-2,4.0
rollstar-sushi-toronto,4.5
crown-and-dragon-pub-toronto,3.5
tao-tea-leaf-toronto,4.5
el-tenedor-toronto,5.0
terroni-toronto-6,3.0
yuzuki-toronto,4.5
buca-yorkville-toronto,4.0
dynasty-chinese-cuisine-toronto,3.0
aburi-hana-toronto,4.5
quanto-basta-toronto,3.5
the-pilot-tavern-toronto,3.5
avant-gout-restaurant-toronto,4.0
house-of-tea-toronto,4.5
d-bar-toronto-2,3.5
kathmandu-restaurant-toronto-2,3.5
flos-diner-toronto,3.5
yorkville-crepes-toronto-2,3.5
utea-toronto,5.0
pantry-toronto-2,4.0
jack-astor-s-toronto,3.0
dessert-lady-café-toronto-2,4.0
tokyo-sushi-toronto-12,3.5
starbucks-toronto-183,4.0
poppadum-toronto,5.0
mad-radish-toronto-3,4.5
balzac-s-coffee-roasters-toronto,3.5
ramsden-park-toronto,4.0
monkey-sushi-toronto-6,2.5
carens-rosedale-toronto,2.5
salad-days-toronto-3,4.0
the-quail-a-firkin-pub-toronto-2,3.0
budd-sugarman-park-toronto,3.0
subway-toronto-198,2.0
sunset-grill-toronto-7,2.5
kebaberie-yorkville-toronto,4.0
bibab-express-toronto-2,4.0
josos-toronto,4.5
osteria-giulia-toronto,4.5
ristorante-sotto-sotto-toronto,4.0
playa-cabana-toronto,4.0
mimi-chinese-toronto,4.0
trattoria-nervosa-toronto,4.0
blu-ristorante-toronto-5,4.0
the-oxley-toronto,4.0
pisac-peruvian-bistro-toronto-2,4.5
utsav-toronto,4.0
le-paradis-brasserie-bistro-toronto,3.5
kandl-artistique-toronto-2,5.0
govindas-toronto,4.0
grandma-loves-you-toronto,5.0
adrak-toronto,3.5
kasa-moto-toronto,3.5
one-restaurant-toronto,3.5
yamato-japanese-restaurant-toronto,3.5
summers-ice-cream-toronto-2,4.5
aburi-hana-toronto,4.5
dynasty-chinese-cuisine-toronto,3.0
flos-diner-toronto,3.5
koko-share-bar-toronto,3.5
avant-gout-restaurant-toronto,4.0
masaki-saito-toronto,4.5
quanto-basta-toronto,3.5
avenue-diner-toronto,2.5
vaticano-italian-restaurant-toronto,3.0
pantry-toronto-2,4.0
kono-pizza-toronto,4.5
zaza-espresso-bar-toronto,4.0
paramount-fine-foods-toronto-4,3.5
the-maker-bean-cafe-toronto,5.0
5-elements-espresso-bar-toronto,3.5
the-arepa-republic-toronto,4.5
bright-hopes-market-toronto,5.0
sofia-toronto,3.0
tokyo-hot-fried-chicken-toronto,4.0
alijandros-kitchen-mississauga-4,4.0
coco-espresso-bar-toronto,4.0
kandl-kafe-toronto-2,5.0
starbucks-toronto-183,4.0
kebaberie-yorkville-toronto,4.0
carens-rosedale-toronto,2.5
pimento-jerk-food-truck-toronto,4.5
mihito-sushi-laboratory-toronto-6,4.5
tasty-tours-toronto,4.5
south-st-burger-toronto-7,3.5
sopra-upper-lounge-toronto,3.0
freshii-toronto-5,3.0
