yelp,foursquare
23,11
8,6
22,11
407,35
268,21
333,30
478,38
141,22
76,12
76,6
219,28
82,27
429,46
17,14
213,17
48,16
46,17
49,10
42,8
40,9
50,13
17,4
418,44
93,15
21,12
59,31
46,16
47,18
95,16
98,11
530,44
360,26
50,25
45,16
61,15
105,14
33,26
43,14
283,35
333,30
46,15
376,42
325,27
87,32
87,24
382,30
42,9
28,7
48,10
66,12
11,10
0,10
30,21
2,14
4,7
42,8
66,20
123,22
269,6
32,12
251,36
275,31
116,25
238,26
366,21
146,23
381,44
32,12
22,9
28,14
31,14
54,18
26,25
39,14
384,32
138,21
66,19
461,41
59,9
19,12
73,18
108,21
19,10
34,37
67,23
107,12
33,11
36,18
28,14
37,12
58,23
5,15
41,15
11,10
18,9
34,9
106,16
2,9
56,9
403,50
10,11
422,37
291,27
49,9
42,21
148,21
101,23
48,10
114,21
372,50
58,20
64,16
35,17
42,19
356,33
213,26
97,10
68,11
78,18
155,30
52,16
88,19
80,16
97,16
151,18
100,15
112,16
22,8
36,25
16,9
56,29
264,26
428,46
42,13
169,21
51,19
246,27
21,17
15,13
83,23
63,12
30,20
31,15
14,6
42,13
162,26
385,25
171,17
242,33
381,28
241,22
288,36
4,3
78,22
103,19
105,11
52,30
112,30
164,19
165,23
119,22
70,27
55,7
43,5
85,8
228,42
61,21
166,22
116,12
152,32
104,22
116,8
49,9
33,16
515,40
18,8
100,29
9,10
66,13
118,18
79,9
37,8
75,30
45,9
505,50
238,30
425,38
131,30
147,14
18,5
37,17
276,27
300,48
353,31
301,31
112,33
50,25
32,7
363,40
136,36
513,50
471,30
299,32
35,13
110,13
442,45
33,11
152,23
306,31
195,32
298,12
467,48
439,46
287,44
193,26
63,23
42,19
10,6
20,15
116,34
49,19
47,15
62,15
63,12
40,29
48,14
124,26
83,26
66,13
48,11
40,20
78,31
182,23
49,32
30,16
22,12
5,13
58,19
34,20
30,29
266,27
23,8
343,28
290,34
47,15
12,5
379,36
548,46
80,11
4,7
73,17
72,18
111,18
5,10
11,2
39,15
42,20
31,10
6,4
80,29
12,8
60,14
56,19
94,26
40,14
4,9
1,6
11,5
66,8
375,42
156,20
42,11
60,21
35,13
28,17
271,30
481,28
91,15
8,8
16,9
77,7
3,10
36,9
30,8
2,12
4,10
9,3
40,13
248,30
37,8
34,13
122,42
201,29
120,22
438,43
58,9
239,15
2,9
68,13
521,44
146,18
13,13
501,50
1,10
37,5
300,32
246,21
28,31
236,34
273,40
275,44
27,17
114,10
38,17
180,23
63,12
297,37
555,46
92,5
338,23
244,26
244,23
212,17
356,22
29,9
22,13
4,7
1,9
45,10
137,25
21,14
30,11
112,24
2,7
194,31
90,15
152,28
303,16
224,11
381,15
14,9
32,14
13,7
5,20
0,6
18,14
29,13
30,12
45,21
43,28
15,22
19,10
69,10
84,19
10,18
38,12
2,9
143,40
59,20
16,23
17,5
37,17
37,5
85,20
90,32
60,13
95,7
51,24
0,6
23,11
6,7
16,16
9,10
8,15
31,9
7,4
47,15
189,24
2,4
4,6
371,50
26,3
583,45
1,4
16,15
33,12
100,37
7,13
1,5
3,12
1,7
99,12
185,17
1,0
1,1
2,2
3,10
4,6
19,7
1,8
